	past	now	future
mean	120.37996208421899	80.90756731899239	68.57127409197888
median	111.0	65.0	56.0
std	65.01060143818952	61.85970649691671	50.61052744447924
min	5.0	1.0	1.0
max	831.0	831.0	432.0
