	past	now	future
-	0.0	0.0	78.0
WW|inf|vrij|zonder	0.0	0.0	1.0
WW|od|prenom|met-e	0.0	0.0	1.0
WW|pv|tgw|ev	0.0	0.0	2.0
WW|pv|tgw|mv	0.0	0.0	1.0
WW|pv|verl|ev	0.0	0.0	2.0
