	past	now	future
-	1958.0	0.0	0.0
WW|inf|nom|zonder|zonder-n	6.0	0.0	0.0
WW|inf|vrij|zonder	41.0	0.0	0.0
WW|od|nom|met-e|zonder-n	1.0	0.0	0.0
WW|od|prenom|met-e	10.0	0.0	0.0
WW|od|prenom|zonder	2.0	0.0	0.0
WW|od|vrij|zonder	3.0	0.0	0.0
WW|pv|tgw|ev	25.0	0.0	0.0
WW|pv|tgw|met-t	39.0	0.0	0.0
WW|pv|tgw|mv	8.0	0.0	0.0
WW|pv|verl|ev	44.0	0.0	0.0
WW|pv|verl|mv	2.0	0.0	0.0
WW|vd|prenom|met-e	4.0	0.0	0.0
WW|vd|prenom|zonder	8.0	0.0	0.0
WW|vd|vrij|zonder	63.0	0.0	0.0
