	past	now	future
-	0.0	901.0	0.0
WW|inf|nom|zonder|zonder-n	0.0	3.0	0.0
WW|inf|vrij|zonder	0.0	27.0	0.0
WW|od|nom|met-e|zonder-n	0.0	1.0	0.0
WW|od|prenom|met-e	0.0	1.0	0.0
WW|od|vrij|zonder	0.0	1.0	0.0
WW|pv|tgw|ev	0.0	13.0	0.0
WW|pv|tgw|met-t	0.0	11.0	0.0
WW|pv|tgw|mv	0.0	9.0	0.0
WW|pv|verl|ev	0.0	2.0	0.0
WW|pv|verl|mv	0.0	3.0	0.0
WW|vd|prenom|met-e	0.0	3.0	0.0
WW|vd|vrij|zonder	0.0	18.0	0.0
