	past	now	future
-	0.0	0.0	1193.0
WW|inf|nom|zonder|zonder-n	0.0	0.0	6.0
WW|inf|vrij|zonder	0.0	0.0	50.0
WW|od|nom|met-e|zonder-n	0.0	0.0	1.0
WW|od|prenom|met-e	0.0	0.0	6.0
WW|od|prenom|zonder	0.0	0.0	1.0
WW|od|vrij|zonder	0.0	0.0	5.0
WW|pv|tgw|ev	0.0	0.0	31.0
WW|pv|tgw|met-t	0.0	0.0	20.0
WW|pv|tgw|mv	0.0	0.0	15.0
WW|pv|verl|ev	0.0	0.0	6.0
WW|pv|verl|mv	0.0	0.0	1.0
WW|vd|prenom|met-e	0.0	0.0	5.0
WW|vd|prenom|zonder	0.0	0.0	2.0
WW|vd|vrij|zonder	0.0	0.0	22.0
