	past	now	future
-	176.0	0.0	0.0
WW|inf|vrij|zonder	3.0	0.0	0.0
WW|od|prenom|met-e	1.0	0.0	0.0
WW|pv|tgw|ev	2.0	0.0	0.0
WW|pv|tgw|met-t	1.0	0.0	0.0
WW|pv|tgw|mv	1.0	0.0	0.0
WW|vd|vrij|zonder	5.0	0.0	0.0
