	past	now	future
-	0.0	0.0	96.0
WW|inf|vrij|zonder	0.0	0.0	5.0
WW|pv|tgw|ev	0.0	0.0	3.0
WW|pv|tgw|met-t	0.0	0.0	3.0
WW|pv|tgw|mv	0.0	0.0	2.0
WW|pv|verl|ev	0.0	0.0	3.0
WW|vd|vrij|zonder	0.0	0.0	1.0
