	past	now	future
-	164.0	0.0	0.0
WW|inf|vrij|zonder	5.0	0.0	0.0
WW|od|prenom|met-e	1.0	0.0	0.0
WW|pv|tgw|ev	3.0	0.0	0.0
WW|pv|tgw|mv	2.0	0.0	0.0
WW|pv|verl|ev	3.0	0.0	0.0
WW|vd|prenom|met-e	1.0	0.0	0.0
WW|vd|vrij|zonder	5.0	0.0	0.0
