	past	now	future
-	2141.0	0.0	0.0
WW|inf|nom|zonder|zonder-n	7.0	0.0	0.0
WW|inf|vrij|zonder	48.0	0.0	0.0
WW|od|nom|met-e|zonder-n	1.0	0.0	0.0
WW|od|prenom|met-e	6.0	0.0	0.0
WW|od|prenom|zonder	2.0	0.0	0.0
WW|od|vrij|zonder	2.0	0.0	0.0
WW|pv|tgw|ev	28.0	0.0	0.0
WW|pv|tgw|met-t	50.0	0.0	0.0
WW|pv|tgw|mv	16.0	0.0	0.0
WW|pv|verl|ev	51.0	0.0	0.0
WW|pv|verl|mv	3.0	0.0	0.0
WW|vd|prenom|met-e	5.0	0.0	0.0
WW|vd|prenom|zonder	11.0	0.0	0.0
WW|vd|vrij|zonder	73.0	0.0	0.0
